HITId,summary,memType,storyIx,sentIx,sent,HippocorpusAssignmentId,rawEventAnnot,majorBin,minorBin,expectedBin,surprisingBin,eventOrNot
304QEQWKZP6YY5PUFWVY280OW1UO0A,I met up with my family for a big reunion for the first time in 20+ years. I got to see my Grandma and Grandpa and Aunt and Uncle who I hadn't seen or talked to in a long time and it was pretty cool. We pledged to keep in touch and try to be better family.,imagined,1,0,"Four months ago, I had a big family reunion.",3A4TN5196L4AN0WHD1ZU2K08B7QCHF,"major-expected,major-surprising,major-surprising,major-expected,major-expected,major-expected,major-expected,minor-expected",0.875,0.125,0.75,0.25,1.0
304QEQWKZP6YY5PUFWVY280OW1UO0A,I met up with my family for a big reunion for the first time in 20+ years. I got to see my Grandma and Grandpa and Aunt and Uncle who I hadn't seen or talked to in a long time and it was pretty cool. We pledged to keep in touch and try to be better family.,imagined,1,1,We haven't had one in over 20 years.,3A4TN5196L4AN0WHD1ZU2K08B7QCHF,"noEvent,noEvent,major-expected,noEvent,major-surprising,noEvent,noEvent,noEvent",0.25,0.0,0.125,0.125,0.25
304QEQWKZP6YY5PUFWVY280OW1UO0A,I met up with my family for a big reunion for the first time in 20+ years. I got to see my Grandma and Grandpa and Aunt and Uncle who I hadn't seen or talked to in a long time and it was pretty cool. We pledged to keep in touch and try to be better family.,imagined,1,2,This was a very exciting event.,3A4TN5196L4AN0WHD1ZU2K08B7QCHF,"noEvent,noEvent,major-surprising,noEvent,major-expected,noEvent,major-surprising,major-expected",0.5,0.0,0.25,0.25,0.5
304QEQWKZP6YY5PUFWVY280OW1UO0A,I met up with my family for a big reunion for the first time in 20+ years. I got to see my Grandma and Grandpa and Aunt and Uncle who I hadn't seen or talked to in a long time and it was pretty cool. We pledged to keep in touch and try to be better family.,imagined,1,3,I saw my Grandma who said I liked great as ever.,3A4TN5196L4AN0WHD1ZU2K08B7QCHF,"minor-expected,minor-expected,minor-expected,minor-expected,minor-expected,noEvent,minor-expected,minor-expected",0.0,0.875,0.875,0.0,0.875
304QEQWKZP6YY5PUFWVY280OW1UO0A,I met up with my family for a big reunion for the first time in 20+ years. I got to see my Grandma and Grandpa and Aunt and Uncle who I hadn't seen or talked to in a long time and it was pretty cool. We pledged to keep in touch and try to be better family.,imagined,1,4,I saw my Grandpa who said I was getting strong.,3A4TN5196L4AN0WHD1ZU2K08B7QCHF,"minor-expected,minor-expected,noEvent,minor-expected,major-expected,noEvent,minor-expected,minor-expected",0.125,0.625,0.75,0.0,0.75
304QEQWKZP6YY5PUFWVY280OW1UO0A,I met up with my family for a big reunion for the first time in 20+ years. I got to see my Grandma and Grandpa and Aunt and Uncle who I hadn't seen or talked to in a long time and it was pretty cool. We pledged to keep in touch and try to be better family.,imagined,1,5,My Aunt looked lovely and thanked me for the compliment.,3A4TN5196L4AN0WHD1ZU2K08B7QCHF,"noEvent,minor-expected,noEvent,noEvent,major-surprising,noEvent,minor-expected,minor-expected",0.125,0.375,0.375,0.125,0.5
304QEQWKZP6YY5PUFWVY280OW1UO0A,I met up with my family for a big reunion for the first time in 20+ years. I got to see my Grandma and Grandpa and Aunt and Uncle who I hadn't seen or talked to in a long time and it was pretty cool. We pledged to keep in touch and try to be better family.,imagined,1,6,My Uncle still smoked a lot.,3A4TN5196L4AN0WHD1ZU2K08B7QCHF,"noEvent,noEvent,noEvent,noEvent,minor-expected,noEvent,minor-expected,minor-expected",0.0,0.375,0.375,0.0,0.375
304QEQWKZP6YY5PUFWVY280OW1UO0A,I met up with my family for a big reunion for the first time in 20+ years. I got to see my Grandma and Grandpa and Aunt and Uncle who I hadn't seen or talked to in a long time and it was pretty cool. We pledged to keep in touch and try to be better family.,imagined,1,7,We had a nice feast.,3A4TN5196L4AN0WHD1ZU2K08B7QCHF,"noEvent,noEvent,minor-expected,minor-expected,major-surprising,noEvent,minor-expected,minor-expected",0.125,0.5,0.5,0.125,0.625
304QEQWKZP6YY5PUFWVY280OW1UO0A,I met up with my family for a big reunion for the first time in 20+ years. I got to see my Grandma and Grandpa and Aunt and Uncle who I hadn't seen or talked to in a long time and it was pretty cool. We pledged to keep in touch and try to be better family.,imagined,1,8,There were plenty of steaks to go around the whole family.,3A4TN5196L4AN0WHD1ZU2K08B7QCHF,"noEvent,noEvent,major-surprising,noEvent,major-surprising,noEvent,noEvent,major-surprising",0.375,0.0,0.0,0.375,0.375
304QEQWKZP6YY5PUFWVY280OW1UO0A,I met up with my family for a big reunion for the first time in 20+ years. I got to see my Grandma and Grandpa and Aunt and Uncle who I hadn't seen or talked to in a long time and it was pretty cool. We pledged to keep in touch and try to be better family.,imagined,1,9,There were some nice mashed potatoes to eat.,3A4TN5196L4AN0WHD1ZU2K08B7QCHF,"noEvent,noEvent,major-surprising,noEvent,major-expected,noEvent,noEvent,minor-expected",0.25,0.125,0.25,0.125,0.375
304QEQWKZP6YY5PUFWVY280OW1UO0A,I met up with my family for a big reunion for the first time in 20+ years. I got to see my Grandma and Grandpa and Aunt and Uncle who I hadn't seen or talked to in a long time and it was pretty cool. We pledged to keep in touch and try to be better family.,imagined,1,10,They had gravy on the side.,3A4TN5196L4AN0WHD1ZU2K08B7QCHF,"noEvent,noEvent,minor-expected,noEvent,major-surprising,noEvent,noEvent,noEvent",0.125,0.125,0.125,0.125,0.25
304QEQWKZP6YY5PUFWVY280OW1UO0A,I met up with my family for a big reunion for the first time in 20+ years. I got to see my Grandma and Grandpa and Aunt and Uncle who I hadn't seen or talked to in a long time and it was pretty cool. We pledged to keep in touch and try to be better family.,imagined,1,11,There was a big cake to share with everybody.,3A4TN5196L4AN0WHD1ZU2K08B7QCHF,"noEvent,noEvent,minor-expected,noEvent,major-expected,noEvent,minor-expected,noEvent",0.125,0.25,0.375,0.0,0.375
304QEQWKZP6YY5PUFWVY280OW1UO0A,I met up with my family for a big reunion for the first time in 20+ years. I got to see my Grandma and Grandpa and Aunt and Uncle who I hadn't seen or talked to in a long time and it was pretty cool. We pledged to keep in touch and try to be better family.,imagined,1,12,It was a chocolate cake.,3A4TN5196L4AN0WHD1ZU2K08B7QCHF,"noEvent,noEvent,minor-expected,noEvent,major-surprising,noEvent,noEvent,noEvent",0.125,0.125,0.125,0.125,0.25
304QEQWKZP6YY5PUFWVY280OW1UO0A,I met up with my family for a big reunion for the first time in 20+ years. I got to see my Grandma and Grandpa and Aunt and Uncle who I hadn't seen or talked to in a long time and it was pretty cool. We pledged to keep in touch and try to be better family.,imagined,1,13,There was also horseshoes to play.,3A4TN5196L4AN0WHD1ZU2K08B7QCHF,"noEvent,minor-expected,minor-expected,noEvent,major-surprising,noEvent,minor-expected,minor-expected",0.125,0.5,0.5,0.125,0.625
304QEQWKZP6YY5PUFWVY280OW1UO0A,I met up with my family for a big reunion for the first time in 20+ years. I got to see my Grandma and Grandpa and Aunt and Uncle who I hadn't seen or talked to in a long time and it was pretty cool. We pledged to keep in touch and try to be better family.,imagined,1,14,I barely beat my Uncle.,3A4TN5196L4AN0WHD1ZU2K08B7QCHF,"noEvent,noEvent,minor-expected,minor-expected,minor-expected,noEvent,minor-expected,minor-expected",0.0,0.625,0.625,0.0,0.625
304QEQWKZP6YY5PUFWVY280OW1UO0A,I met up with my family for a big reunion for the first time in 20+ years. I got to see my Grandma and Grandpa and Aunt and Uncle who I hadn't seen or talked to in a long time and it was pretty cool. We pledged to keep in touch and try to be better family.,imagined,1,15,We vowed to keep in touch.,3A4TN5196L4AN0WHD1ZU2K08B7QCHF,"noEvent,minor-expected,noEvent,minor-expected,major-surprising,noEvent,major-expected,noEvent",0.25,0.25,0.375,0.125,0.5
304QEQWKZP6YY5PUFWVY280OW1UO0A,I met up with my family for a big reunion for the first time in 20+ years. I got to see my Grandma and Grandpa and Aunt and Uncle who I hadn't seen or talked to in a long time and it was pretty cool. We pledged to keep in touch and try to be better family.,recalled,2,0,We had a family reunion about 4 months ago that was a really great time.,3Q8GYXHFEQOY77CMCZYLDNXI6SXC5K,"major-expected,major-surprising,major-expected,major-expected,major-surprising,major-surprising,major-surprising,minor-expected",0.875,0.125,0.5,0.5,1.0
304QEQWKZP6YY5PUFWVY280OW1UO0A,I met up with my family for a big reunion for the first time in 20+ years. I got to see my Grandma and Grandpa and Aunt and Uncle who I hadn't seen or talked to in a long time and it was pretty cool. We pledged to keep in touch and try to be better family.,recalled,2,1,I got to see my distant family that I hadn't seen in decades since I was a kid and close ones that I rarely see.,3Q8GYXHFEQOY77CMCZYLDNXI6SXC5K,"noEvent,noEvent,major-surprising,noEvent,major-surprising,noEvent,major-expected,noEvent",0.375,0.0,0.125,0.25,0.375
304QEQWKZP6YY5PUFWVY280OW1UO0A,I met up with my family for a big reunion for the first time in 20+ years. I got to see my Grandma and Grandpa and Aunt and Uncle who I hadn't seen or talked to in a long time and it was pretty cool. We pledged to keep in touch and try to be better family.,recalled,2,2,It was cool to see my grandpa because It's honestly been at least 25 years and since he is handicap it's hard for him to get around.,3Q8GYXHFEQOY77CMCZYLDNXI6SXC5K,"major-expected,noEvent,minor-expected,noEvent,major-expected,noEvent,major-surprising,minor-expected",0.375,0.25,0.5,0.125,0.625
304QEQWKZP6YY5PUFWVY280OW1UO0A,I met up with my family for a big reunion for the first time in 20+ years. I got to see my Grandma and Grandpa and Aunt and Uncle who I hadn't seen or talked to in a long time and it was pretty cool. We pledged to keep in touch and try to be better family.,recalled,2,3,He also lives on the opposite coast so it is just hard to meet up.,3Q8GYXHFEQOY77CMCZYLDNXI6SXC5K,"noEvent,noEvent,major-surprising,noEvent,major-surprising,noEvent,noEvent,minor-expected",0.25,0.125,0.125,0.25,0.375
